id,key,value,type
6328110,tiger:name_base,The South Crossways,name_
6328110,tiger:separated,no,separ
6328110,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6328518,name,Fernwood Court,regular
6328518,highway,residential,regular
6328518,tiger:cfcc,A41,cfcc
6328518,tiger:tlid,125015702,tlid
6328518,tiger:county,"Alameda, CA",count
6328518,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6328518,tiger:reviewed,no,revie
6328518,tiger:zip_left,94541,zip_l
6328518,tiger:name_base,Fernwood,name_
6328518,tiger:name_type,Ct,name_
6328518,tiger:separated,no,separ
6328518,tiger:zip_right,94541,zip_r
6328909,name,Walter Dinos Court,regular
6328909,access,permissive,regular
6328909,highway,residential,regular
6328909,tiger:cfcc,A41,cfcc
6328909,tiger:tlid,125047582,tlid
6328909,tiger:county,"Alameda, CA",count
6328909,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6328909,tiger:reviewed,no,revie
6328909,tiger:zip_left,94542,zip_l
6328909,tiger:name_base,Walter Dinos,name_
6328909,tiger:name_type,Ct,name_
6328909,tiger:separated,no,separ
6328909,tiger:zip_right,94542,zip_r
6329588,name,Winding Boulevard,regular
6329588,highway,residential,regular
6329588,tiger:cfcc,A41,cfcc
6329588,tiger:county,"Alameda, CA",count
6329588,tiger:reviewed,no,revie
6329588,tiger:zip_left,94578,zip_l
6329588,tiger:name_base,Winding,name_
6329588,tiger:name_type,Blvd,name_
6329588,tiger:zip_right,94578,zip_r
6329741,name,57th Avenue,regular
6329741,highway,residential,regular
6329741,created_by,Potlatch 0.8,regular
6329741,tiger:cfcc,A41,cfcc
6329741,tiger:tlid,125007885,tlid
6329741,tiger:county,"Alameda, CA",count
6329741,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6329741,tiger:reviewed,no,revie
6329741,tiger:zip_left,94605,zip_l
6329741,tiger:name_base,57th,name_
6329741,tiger:name_type,Ave,name_
6329741,tiger:separated,no,separ
6329741,tiger:zip_right,94605,zip_r
6329984,name,Shadow Creek Circle,regular
6329984,highway,residential,regular
6329984,tiger:cfcc,A41,cfcc
6329984,tiger:tlid,125074106,tlid
6329984,tiger:county,"Alameda, CA",count
6329984,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6329984,tiger:reviewed,no,revie
6329984,tiger:name_base,Shadow Creek,name_
6329984,tiger:name_type,Cir,name_
6329984,tiger:separated,no,separ
6330246,name,Seacor Court,regular
6330246,highway,residential,regular
6330246,tiger:cfcc,A41,cfcc
6330246,tiger:tlid,125010980,tlid
6330246,tiger:county,"Alameda, CA",count
6330246,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6330246,tiger:reviewed,no,revie
6330246,tiger:zip_left,94605,zip_l
6330246,tiger:name_base,Seacor,name_
6330246,tiger:name_type,Ct,name_
6330246,tiger:separated,no,separ
6330246,tiger:zip_right,94605,zip_r
6330294,name,Artistry Loop,regular
6330294,highway,residential,regular
6330294,maxspeed,25 mph,regular
6330294,created_by,Potlatch 0.10f,regular
6330294,tiger:cfcc,A41,cfcc
6330294,tiger:tlid,125073979,tlid
6330294,tiger:county,"Alameda, CA",count
6330294,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6330294,tiger:reviewed,no,revie
6330294,tiger:zip_left,94587,zip_l
6330294,tiger:name_base,Artistry,name_
6330294,tiger:name_type,Loop,name_
6330294,tiger:separated,no,separ
6330294,tiger:zip_right,94587,zip_r
6330294,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6330476,name,Mazuela Drive,regular
6330476,highway,residential,regular
6330476,tiger:cfcc,A41,cfcc
6330476,tiger:county,"Alameda, CA",count
6330476,tiger:reviewed,no,revie
6330476,tiger:zip_left,94611,zip_l
6330476,tiger:name_base,Mazuela,name_
6330476,tiger:name_type,Dr,name_
6330476,tiger:zip_right,94611,zip_r
6331460,name,Buren Place,regular
6331460,highway,residential,regular
6331460,tiger:cfcc,A41,cfcc
6331460,tiger:tlid,125065390:125065392:125065393:125071166:125071167:125082054:125065387,tlid
6331460,tiger:county,"Alameda, CA",count
6331460,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6331460,tiger:reviewed,no,revie
6331460,tiger:name_base,Buren,name_
6331460,tiger:name_type,Pl,name_
6331460,tiger:separated,no,separ
6331774,name,Marchand Court,regular
6331774,highway,residential,regular
6331774,tiger:cfcc,A41,cfcc
6331774,tiger:tlid,125058401:125082032,tlid
6331774,tiger:county,"Alameda, CA",count
6331774,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6331774,tiger:reviewed,no,revie
6331774,tiger:zip_left,94541,zip_l
6331774,tiger:name_base,Marchand,name_
6331774,tiger:name_type,Ct,name_
6331774,tiger:separated,no,separ
6331774,tiger:zip_right,94541,zip_r
6331848,name,Egret Court,regular
6331848,highway,residential,regular
6331848,tiger:cfcc,A41,cfcc
6331848,tiger:tlid,125022553,tlid
6331848,tiger:county,"Alameda, CA",count
6331848,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6331848,tiger:reviewed,no,revie
6331848,tiger:zip_left,94545,zip_l
6331848,tiger:name_base,Egret,name_
6331848,tiger:name_type,Ct,name_
6331848,tiger:separated,no,separ
6331848,tiger:zip_right,94545,zip_r
6332092,name,Alameda Avenue,regular
6332092,highway,residential,regular
6332092,tiger:cfcc,A41,cfcc
6332092,tiger:tlid,125005334:125005203:125005205:125005115:125005172:125005177:125005363,tlid
6332092,tiger:county,"Alameda, CA",count
6332092,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6332092,tiger:reviewed,no,revie
6332092,tiger:zip_left,94501,zip_l
6332092,tiger:name_base,Alameda,name_
6332092,tiger:name_type,Ave,name_
6332092,tiger:separated,no,separ
6332092,tiger:zip_right,94501,zip_r
6332227,name,Fox Ridge Drive,regular
6332227,highway,residential,regular
6332227,tiger:cfcc,A41,cfcc
6332227,tiger:tlid,125052046:125052049,tlid
6332227,tiger:county,"Alameda, CA",count
6332227,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6332227,tiger:reviewed,no,revie
6332227,tiger:zip_left,94546,zip_l
6332227,tiger:name_base,Fox Ridge,name_
6332227,tiger:name_type,Dr,name_
6332227,tiger:separated,no,separ
6332227,tiger:zip_left_1,94546,zip_l
6332287,name,Louette Court,regular
6332287,highway,residential,regular
6332287,created_by,Potlatch 0.10f,regular
6332287,tiger:cfcc,A41,cfcc
6332287,tiger:tlid,125019579,tlid
6332287,tiger:county,"Alameda, CA",count
6332287,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6332287,tiger:reviewed,no,revie
6332287,tiger:zip_left,94541,zip_l
6332287,tiger:name_base,Louette,name_
6332287,tiger:name_type,Ct,name_
6332287,tiger:separated,no,separ
6332287,tiger:zip_right,94541,zip_r
6333061,name,Evans Avenue,regular
6333061,highway,residential,regular
6333061,created_by,Potlatch 0.8a,regular
6333061,tiger:cfcc,A41,cfcc
6333061,tiger:tlid,125002858,tlid
6333061,tiger:county,"Alameda, CA",count
6333061,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6333061,tiger:reviewed,no,revie
6333061,tiger:zip_left,94602,zip_l
6333061,tiger:name_base,Evans,name_
6333061,tiger:name_type,Ave,name_
6333061,tiger:separated,no,separ
6333061,tiger:zip_right,94602,zip_r
6333151,name,New Harbor Court,regular
6333151,highway,residential,regular
6333151,tiger:cfcc,A41,cfcc
6333151,tiger:tlid,125079006,tlid
6333151,tiger:county,"Alameda, CA",count
6333151,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6333151,tiger:reviewed,position,revie
6333151,tiger:zip_left,94587,zip_l
6333151,tiger:name_base,New Harbor,name_
6333151,tiger:name_type,Ct,name_
6333151,tiger:separated,no,separ
6333151,tiger:zip_right,94587,zip_r
6333179,cycleway,lane,regular
6333179,highway,secondary,regular
6333179,name,Embarcadero West,regular
6333179,name_1,1st Street,regular
6333179,note,Needs work,regular
6333179,sidewalk,left,regular
6333179,tiger:cfcc,A41,cfcc
6333179,tiger:county,"Alameda, CA",count
6333179,tiger:name_base,Embarcadero,name_
6333179,tiger:name_base_1,1st,name_
6333179,tiger:name_direction_suffix,W,name_
6333179,tiger:name_type_1,St,name_
6333179,tiger:zip_left,94607,zip_l
6333179,tiger:zip_right,94607,zip_r
6334712,name,Belvedere Avenue,regular
6334712,highway,residential,regular
6334712,maxspeed,25 mph,regular
6334712,sidewalk,both,regular
6334712,addr:city,Berkeley,city
6334712,tiger:cfcc,A41,cfcc
6334712,tiger:county,"Alameda, CA",count
6334712,tiger:reviewed,yes,revie
6334712,tiger:zip_left,94702,zip_l
6334712,tiger:name_base,Belvedere,name_
6334712,tiger:name_type,Ave,name_
6334712,tiger:zip_right,94702,zip_r
6334865,name,Arena Street,regular
6334865,highway,residential,regular
6334865,created_by,Potlatch 0.10f,regular
6334865,tiger:cfcc,A41,cfcc
6334865,tiger:tlid,125039218:125018872:125018895,tlid
6334865,tiger:county,"Alameda, CA",count
6334865,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6334865,tiger:reviewed,no,revie
6334865,tiger:zip_left,94579,zip_l
6334865,tiger:name_base,Arena,name_
6334865,tiger:name_type,St,name_
6334865,tiger:separated,no,separ
6334865,tiger:zip_right,94579,zip_r
6336035,highway,residential,regular
6336035,name,165th Avenue,regular
6336035,tiger:cfcc,A41,cfcc
6336035,tiger:county,"Alameda, CA",count
6336035,tiger:name_base,165th,name_
6336035,tiger:name_type,Ave,name_
6336035,tiger:zip_left,94578,zip_l
6336035,tiger:zip_right,94578,zip_r
6336206,name,Barclay Avenue,regular
6336206,highway,residential,regular
6336206,tiger:cfcc,A41,cfcc
6336206,tiger:tlid,125024812:125024831,tlid
6336206,tiger:county,"Alameda, CA",count
6336206,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6336206,tiger:reviewed,yes,revie
6336206,tiger:zip_left,94587,zip_l
6336206,tiger:name_base,Barclay,name_
6336206,tiger:name_type,Ave,name_
6336206,tiger:separated,no,separ
6336206,tiger:zip_right,94587,zip_r
6336242,name,Dennison Street,regular
6336242,highway,tertiary,regular
6336242,tiger:cfcc,A41,cfcc
6336242,tiger:tlid,125062122:125062123:125005868:125005306:125005871:125005315,tlid
6336242,tiger:county,"Alameda, CA",count
6336242,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6336242,tiger:reviewed,no,revie
6336242,tiger:zip_left,94606,zip_l
6336242,tiger:name_base,Dennison,name_
6336242,tiger:name_type,St,name_
6336242,tiger:separated,no,separ
6336242,tiger:zip_right,94606,zip_r
6336830,name,Camellia Court,regular
6336830,access,private,regular
6336830,highway,residential,regular
6336830,tiger:cfcc,A41,cfcc
6336830,tiger:tlid,125059964:125059965,tlid
6336830,tiger:county,"Alameda, CA",count
6336830,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6336830,motor_vehicle,yes,regular
6336830,tiger:reviewed,no,revie
6336830,tiger:zip_left,94544,zip_l
6336830,tiger:name_base,Camellia,name_
6336830,tiger:name_type,Ct,name_
6336830,tiger:separated,no,separ
6336830,tiger:zip_right,94544,zip_r
6336833,name,Camellia Court,regular
6336833,name_1,Fallen Leaf Lane,regular
6336833,highway,residential,regular
6336833,created_by,Potlatch 0.10f,regular
6336833,tiger:cfcc,A41,cfcc
6336833,tiger:tlid,125063756,tlid
6336833,tiger:county,"Alameda, CA",count
6336833,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6336833,tiger:reviewed,no,revie
6336833,tiger:zip_left,94577,zip_l
6336833,tiger:name_base,Camellia,name_
6336833,tiger:name_type,Ct,name_
6336833,tiger:separated,no,separ
6336833,tiger:zip_right,94577,zip_r
6336833,tiger:zip_left_1,94577,zip_l
6336833,tiger:name_base_1,Fallen Leaf,name_
6336833,tiger:name_type_1,Ln,name_
6337887,name,Yew Court,regular
6337887,highway,residential,regular
6337887,tiger:cfcc,A41,cfcc
6337887,tiger:county,"Alameda, CA",count
6337887,tiger:reviewed,no,revie
6337887,tiger:zip_left,94560,zip_l
6337887,tiger:name_base,Yew,name_
6337887,tiger:name_type,Ct,name_
6337887,tiger:zip_right,94560,zip_r
6338220,foot,yes,regular
6338220,name,Bolivar Drive,regular
6338220,highway,cycleway,regular
6338220,addr:city,Berkeley,city
6338220,tiger:cfcc,A41,cfcc
6338220,tiger:county,"Alameda, CA",count
6338220,tiger:zip_left,94710,zip_l
6338220,tiger:name_base,Bolivar,name_
6338220,tiger:name_type,Dr,name_
6338220,tiger:zip_right,94710,zip_r
6338352,name,106th Avenue,regular
6338352,highway,residential,regular
6338352,created_by,Potlatch 0.10e,regular
6338352,tiger:cfcc,A41,cfcc
6338352,tiger:tlid,125010201,tlid
6338352,tiger:county,"Alameda, CA",count
6338352,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6338352,tiger:reviewed,no,revie
6338352,tiger:name_base,106th,name_
6338352,tiger:name_type,Ave,name_
6338352,tiger:separated,no,separ
6338420,highway,residential,regular
6338420,name,Figueroa Drive,regular
6338420,tiger:cfcc,A41,cfcc
6338420,tiger:county,"Alameda, CA",count
6338420,tiger:name_base,Figueroa,name_
6338420,tiger:name_type,Dr,name_
6338420,tiger:zip_left,94578,zip_l
6338420,tiger:zip_right,94578,zip_r
6338800,name,Crosby Street,regular
6338800,highway,residential,regular
6338800,tiger:cfcc,A41,cfcc
6338800,tiger:county,"Alameda, CA",count
6338800,tiger:reviewed,no,revie
6338800,tiger:name_base,Crosby,name_
6338800,tiger:name_type,St,name_
6338868,name,Keswick Court,regular
6338868,highway,residential,regular
6338868,tiger:cfcc,A41,cfcc
6338868,tiger:county,"Alameda, CA",count
6338868,tiger:reviewed,no,revie
6338868,tiger:zip_left,94611,zip_l
6338868,tiger:name_base,Keswick,name_
6338868,tiger:name_type,Ct,name_
6338868,tiger:zip_right,94611,zip_r
6338991,name,Santa Rita Way,regular
6338991,highway,residential,regular
6338991,tiger:cfcc,A41,cfcc
6338991,tiger:county,"Alameda, CA",count
6338991,tiger:reviewed,no,revie
6338991,tiger:zip_left,94587,zip_l
6338991,tiger:name_base,Santa Rita,name_
6338991,tiger:name_type,Way,name_
6338991,tiger:zip_right,94587,zip_r
6339118,name,Olive Avenue,regular
6339118,highway,residential,regular
6339118,tiger:cfcc,A41,cfcc
6339118,tiger:tlid,125000777:125000702:125000792,tlid
6339118,tiger:county,"Alameda, CA",count
6339118,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6339118,tiger:reviewed,no,revie
6339118,tiger:zip_left,94611,zip_l
6339118,tiger:name_base,Olive,name_
6339118,tiger:name_type,Ave,name_
6339118,tiger:separated,no,separ
6339118,tiger:zip_right,94611,zip_r
6339440,name,Easter Lane,regular
6339440,highway,residential,regular
6339440,tiger:cfcc,A41,cfcc
6339440,tiger:tlid,125005835,tlid
6339440,tiger:county,"Alameda, CA",count
6339440,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6339440,tiger:reviewed,no,revie
6339440,tiger:zip_left,94502,zip_l
6339440,tiger:name_base,Easter,name_
6339440,tiger:name_type,Ln,name_
6339440,tiger:separated,no,separ
6339440,tiger:zip_right,94502,zip_r
6339518,name,Bishop Street,regular
6339518,highway,residential,regular
6339518,tiger:cfcc,A41,cfcc
6339518,tiger:tlid,125028175,tlid
6339518,tiger:county,"Alameda, CA",count
6339518,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6339518,tiger:reviewed,no,revie
6339518,tiger:zip_left,94560,zip_l
6339518,tiger:name_base,Bishop,name_
6339518,tiger:name_type,St,name_
6339518,tiger:separated,no,separ
6339518,tiger:zip_right,94560,zip_r
6339573,name,Scenic Avenue,regular
6339573,highway,residential,regular
6339573,tiger:cfcc,A41,cfcc
6339573,tiger:tlid,125001806,tlid
6339573,tiger:county,"Alameda, CA",count
6339573,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6339573,tiger:reviewed,no,revie
6339573,tiger:zip_left,94611,zip_l
6339573,tiger:name_base,Scenic,name_
6339573,tiger:name_type,Ave,name_
6339573,tiger:separated,no,separ
6339573,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6339701,name,Pease Court,regular
6339701,highway,residential,regular
6339701,tiger:cfcc,A41,cfcc
6339701,tiger:tlid,125006770,tlid
6339701,tiger:county,"Alameda, CA",count
6339701,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6339701,tiger:reviewed,no,revie
6339701,tiger:zip_left,94501,zip_l
6339701,tiger:name_base,Pease,name_
6339701,tiger:name_type,Ct,name_
6339701,tiger:separated,no,separ
6339701,tiger:zip_right,94501,zip_r
6339746,name,Hallmark Court,regular
6339746,highway,residential,regular
6339746,tiger:cfcc,A41,cfcc
6339746,tiger:tlid,125015077,tlid
6339746,tiger:county,"Alameda, CA",count
6339746,tiger:source,tiger_import_dch_v0.6_20070809,sourc
